2,22.54100056,113.9178758,58,110,0, 2016:02:25:00:44:07,0,1.45633E+12,,,,,,,,,,
1,22.54095222,113.9180197,2,2,1, 宝安大道,503,110,5,0,1, 深南大道,2342,550,-1, naviinfo,0,1.45633E+12
2,22.54095222,113.9180197,56,110,0, 2016:02:25:00:44:08,0,1.45633E+12,,,,,,,,,,
1,22.54090583,113.9181575,2,2,1, 宝安大道,488,110,5,0,1, 深南大道,2327,549,-1, naviinfo,0,1.45633E+12
2,22.54090583,113.9181575,54,110,0, 2016:02:25:00:44:09,0,1.45633E+12,,,,,,,,,,
1,22.54086222,113.9182875,2,2,1, 宝安大道,474,110,5,0,1, 深南大道,2313,548,-1, naviinfo,0,1.45633E+12
2,22.54086222,113.9182875,51,110,0, 2016:02:25:00:44:10,0,1.45633E+12,,,,,,,,,,
1,22.54082083,113.9184064,3,2,1, 宝安大道,460,114,5,0,1, 深南大道,2299,547,-1, naviinfo,0,1.45633E+12
2,22.54082083,113.9184064,49,114,0, 2016:02:25:00:44:11,0,1.45633E+12,,,,,,,,,,
1,22.54077306,113.9185239,3,2,1, 宝安大道,447,114,5,0,1, 深南大道,2286,546,-1, naviinfo,0,1.45633E+12
2,22.54077306,113.9185239,48,114,0, 2016:02:25:00:44:12,0,1.45633E+12,,,,,,,,,,
1,22.54072639,113.9186394,3,2,1, 宝安大道,434,114,5,0,1, 深南大道,2273,545,-1, naviinfo,0,1.45633E+12
2,22.54072639,113.9186394,46,114,0, 2016:02:25:00:44:13,0,1.45633E+12,,,,,,,,,,
1,22.54068306,113.9187578,4,3,1, 深南大道,421,110,5,0,1, 深南大道,2260,544,-1, naviinfo,0,1.45633E+12
2,22.54068306,113.9187578,46,110,0, 2016:02:25:00:44:14,0,1.45633E+12,,,,,,,,,,
1,22.54064528,113.9188686,4,3,1, 深南大道,408,110,5,0,1, 深南大道,2247,543,-1, naviinfo,0,1.45633E+12
2,22.54064528,113.9188686,44,110,0, 2016:02:25:00:44:15,0,1.45633E+12,,,,,,,,,,
1,22.54060833,113.9189775,4,3,1, 深南大道,397,110,5,0,1, 深南大道,2236,542,-1, naviinfo,0,1.45633E+12
2,22.54060833,113.9189775,43,110,0, 2016:02:25:00:44:16,0,1.45633E+12,,,,,,,,,,
1,22.54057194,113.9190847,4,3,1, 深南大道,385,110,5,0,1, 深南大道,2224,540,-1, naviinfo,0,1.45633E+12
2,22.54057194,113.9190847,42,110,0, 2016:02:25:00:44:17,0,1.45633E+12,,,,,,,,,,
1,22.54053694,113.9191875,4,3,1, 深南大道,374,110,5,0,1, 深南大道,2213,539,-1, naviinfo,0,1.45633E+12
2,22.54053694,113.9191875,40,110,0, 2016:02:25:00:44:18,0,1.45633E+12,,,,,,,,,,
1,22.54050278,113.9192878,4,3,1, 深南大道,363,110,5,0,1, 深南大道,2202,538,-1, naviinfo,0,1.45633E+12
2,22.54050278,113.9192878,40,110,0, 2016:02:25:00:44:19,0,1.45633E+12,,,,,,,,,,
1,22.54047056,113.9193831,4,3,1, 深南大道,352,110,5,0,1, 深南大道,2191,537,-1, naviinfo,0,1.45633E+12
2,22.54047056,113.9193831,37,110,0, 2016:02:25:00:44:20,0,1.45633E+12,,,,,,,,,,
1,22.54044,113.9194733,4,3,1, 深南大道,342,110,5,0,1, 深南大道,2181,536,-1, naviinfo,0,1.45633E+12
2,22.54044,113.9194733,35,110,0, 2016:02:25:00:44:21,0,1.45633E+12,,,,,,,,,,
1,22.54041111,113.9195653,5,4,1, 深南大道,332,105,5,0,1, 深南大道,2171,534,-1, naviinfo,0,1.45633E+12
2,22.54041111,113.9195653,33,105,0, 2016:02:25:00:44:22,0,1.45633E+12,,,,,,,,,,
1,22.54039139,113.9196456,5,4,1, 深南大道,323,105,5,0,1, 深南大道,2162,531,-1, naviinfo,0,1.45633E+12
2,22.54039139,113.9196456,31,105,0, 2016:02:25:00:44:23,0,1.45633E+12,,,,,,,,,,
1,22.54037278,113.9197208,5,4,1, 深南大道,315,105,5,0,1, 深南大道,2154,529,-1, naviinfo,0,1.45633E+12
2,22.54037278,113.9197208,29,105,0, 2016:02:25:00:44:24,0,1.45633E+12,,,,,,,,,,
1,22.54035528,113.9197922,5,4,1, 深南大道,308,105,5,0,1, 深南大道,2147,527,-1, naviinfo,0,1.45633E+12
2,22.54035528,113.9197922,28,105,0, 2016:02:25:00:44:25,0,1.45633E+12,,,,,,,,,,
1,22.5403375,113.9198642,5,4,1, 深南大道,300,105,5,0,1, 深南大道,2139,524,-1, naviinfo,0,1.45633E+12
2,22.5403375,113.9198642,29,105,0, 2016:02:25:00:44:26,0,1.45633E+12,,,,,,,,,,
1,22.54031889,113.9199403,5,4,1, 深南大道,292,105,5,0,1, 深南大道,2131,522,-1, naviinfo,0,1.45633E+12
2,22.54031889,113.9199403,31,105,0, 2016:02:25:00:44:27,0,1.45633E+12,,,,,,,,,,
1,22.54029944,113.92002,5,4,1, 深南大道,283,105,5,0,1, 深南大道,2122,519,-1, naviinfo,0,1.45633E+12
2,22.54029944,113.92002,31,105,0, 2016:02:25:00:44:28,0,1.45633E+12,,,,,,,,,,
1,22.54028083,113.9200961,5,4,1, 深南大道,275,105,5,0,1, 深南大道,2114,517,-1, naviinfo,0,1.45633E+12
2,22.54028083,113.9200961,30,105,0, 2016:02:25:00:44:29,0,1.45633E+12,,,,,,,,,,
1,22.54026194,113.9201731,5,4,1, 深南大道,267,105,5,0,1, 深南大道,2106,514,-1, naviinfo,0,1.45633E+12
2,22.54026194,113.9201731,30,105,0, 2016:02:25:00:44:30,0,1.45633E+12,,,,,,,,,,
1,22.54024278,113.9202506,5,4,1, 深南大道,259,105,5,0,1, 深南大道,2098,512,-1, naviinfo,0,1.45633E+12
2,22.54024278,113.9202506,31,105,0, 2016:02:25:00:44:31,0,1.45633E+12,,,,,,,,,,
1,22.54022361,113.9203294,6,4,1, 深南大道,251,104,5,0,1, 深南大道,2090,509,-1, naviinfo,0,1.45633E+12
2,22.54022361,113.9203294,30,104,0, 2016:02:25:00:44:32,0,1.45633E+12,,,,,,,,,,
1,22.540205,113.9204072,6,4,1, 深南大道,243,105,5,0,1, 深南大道,2082,507,-1, naviinfo,0,1.45633E+12
2,22.540205,113.9204072,31,105,0, 2016:02:25:00:44:33,0,1.45633E+12,,,,,,,,,,
1,22.54019111,113.9204997,7,5,1, 深南大道,233,99,5,0,1, 深南大道,2072,506,-1, naviinfo,0,1.45633E+12
2,22.54019111,113.9204997,35,99,0, 2016:02:25:00:44:34,0,1.45633E+12,,,,,,,,,,
1,22.54017722,113.9205944,8,5,1, 深南大道,223,99,5,0,1, 深南大道,2062,505,-1, naviinfo,0,1.45633E+12
2,22.54017722,113.9205944,37,99,0, 2016:02:25:00:44:35,0,1.45633E+12,,,,,,,,,,
1,22.54016278,113.9206969,8,5,1, 深南大道,212,99,5,0,1, 深南大道,2051,503,-1, naviinfo,0,1.45633E+12
2,22.54016278,113.9206969,40,99,0, 2016:02:25:00:44:36,0,1.45633E+12,,,,,,,,,,
1,22.54014861,113.9207975,8,5,1, 深南大道,202,99,5,0,1, 深南大道,2041,502,-1, naviinfo,0,1.45633E+12
2,22.54014861,113.9207975,41,99,0, 2016:02:25:00:44:37,0,1.45633E+12,,,,,,,,,,
1,22.54013861,113.9209153,9,6,1, 深南大道,190,95,5,0,1, 深南大道,2029,501,-1, naviinfo,0,1.45633E+12
2,22.54013861,113.9209153,42,95,0, 2016:02:25:00:44:38,0,1.45633E+12,,,,,,,,,,
1,22.54012889,113.9210278,9,6,1, 深南大道,179,95,5,0,1, 深南大道,2018,500,-1, naviinfo,0,1.45633E+12
2,22.54012889,113.9210278,42,95,0, 2016:02:25:00:44:39,0,1.45633E+12,,,,,,,,,,
1,22.54012,113.9211422,10,6,1, 深南大道,166,94,5,0,1, 深南大道,2005,499,-1, naviinfo,0,1.45633E+12
2,22.54012,113.9211422,42,94,0, 2016:02:25:00:44:40,0,1.45633E+12,,,,,,,,,,
1,22.54011222,113.9212592,10,6,1, 深南大道,154,94,5,0,1, 深南大道,1993,498,-1, naviinfo,0,1.45633E+12
2,22.54011222,113.9212592,43,94,0, 2016:02:25:00:44:41,0,1.45633E+12,,,,,,,,,,
1,22.54010417,113.9213778,10,6,1, 深南大道,142,94,5,0,1, 深南大道,1981,497,-1, naviinfo,0,1.45633E+12
2,22.54010417,113.9213778,44,94,0, 2016:02:25:00:44:42,0,1.45633E+12,,,,,,,,,,
1,22.54009583,113.9214997,10,6,1, 深南大道,129,94,5,0,1, 深南大道,1968,496,-1, naviinfo,0,1.45633E+12
2,22.54009583,113.9214997,45,94,0, 2016:02:25:00:44:43,0,1.45633E+12,,,,,,,,,,
